id,plan_id,day_of_week,meal_type,name,ingredients,preparation
1,6,"Miércoles",Cena,"CHILAQUILES LIGEROS EN SALSA ROJA CON QUESO","",""
2,6,"Sábado",Cena,"PAN FRANCÉS LIGERO CON FRUTA DE TEM- PORADA","",""
3,7,Lunes,Desayuno,"TACOS DE HUEVO CON NOPALITOS Y QUESITO","🥚 2 huevos + 1 clara 🌵 ½ taza de nopales cocidos 🧀 ¼ taza de queso panela en cubitos 🌮 2 tortillas de maíz 🧂 Sal y pimienta al gusto 🫙 1 cdita de aceite de oliva","En sartén, sofríe los nopales en el aceite. Agrega los huevos batidos y cocina. Añade queso al final y mezcla. Sirve en las tortillas calientes. ENSALADA TEMPLADA DE POLLO Y ACEITUNAS"
4,7,Martes,Desayuno,"MOLLETES LIGEROS CON AGUACATE Y QUESITO","🍗 1 8 0 gr de pechuga de pollo deshebrada (asada o cocida) 🫒 6 aceitunas partidas a la mitad 🍅 ½ taza de jitomate cherry 🥬 1 taza de espinaca baby o lechuga romana 🧅 ¼ taza de cebolla morada fileteada 🫙 1 cdita de aceite de oliva 🍋 Jugo de ½ limón 🌽 ¼ taza de granos de elote cocido🐟 1 lata de atún en agua, escurrida 🥑 ¼ de aguacate 🌮 2 tostadas horneadas de maíz 🍅 ¼ taza de jitomate picado 🧅 2 cdas de cebolla 🌿 Cilantro al gusto 🍋 Limón, sal y pimienta","Mezcla todos los ingredientes y calienta ligeramente la pechuga con el elote. Agrega la mezcla tibia sobre la cama de hojas verdes y jitomate. Adereza con limón y aceite de oliva. TOSTADAS DE ATÚN CON AGUACATE Y PICO DE GALLOMezcla el atún con el aguacate y condimenta. Haz pico de gallo (jitomate, cebolla, cilantro y limón). Sirve sobre las tostadas."
5,7,"Miércoles",Desayuno,"CHILAQUILES LIGEROS EN SALSA ROJA CON QUESO","🥖 1 bolillo integral partido a la mitad (sin migajón) 🥑 ¼ de aguacate 🧀 ¼ taza de queso panela rallado 🫘 3 cdas de frijoles refritos (sin grasa añadida) 🫙 1 cdita de aceite de oliva🥩 1 7 0 gr de carne de res magra en fajitas 🌶 ½ taza de pimiento morrón 🧅 ¼ taza de cebolla 🍚 ½ taza de arroz integral cocido 🧄 1 diente de ajo 🫙 1 cdita de aceite de oliva 🌿 Especias al gusto (orégano, comino)🌮 2 tortillas de maíz 🧀 ¼ taza de queso Oaxaca 🥒 ½ taza de calabacita rallada 🧅 1 cda de cebolla picada 🫙 1 cdita de aceite de oliva","Unta frijoles en el pan, pon el queso y calienta en sar- tén tapado. Agrega el aguacate encima al final. FAJITAS DE RES CON VERDURITAS Y ARROZ INTEGRALSofríe ajo, cebolla y pimientos, luego añade carne y especias. Acompaña con el arroz. QUESADILLAS DORADITAS DE CALABACITA Y QUESOSofríe la calabacita y cebolla en aceite. Arma las quesadillas y dóralas en sartén."
6,7,Jueves,Desayuno,"HUEVOS A LA MEXICANA CON TORTILLITAS","🌮 3 tortillas de maíz (cortadas y tostadas) 🍅 ¾ taza de salsa roja casera (jitomate, ajo, cebolla, chile guajillo) 🧀 ¼ taza de queso fresco 🧅 1 cda de cebolla picada 🫙 1 cdita de aceite de oliva🌮 3 tortillas de maíz 🍗 1 8 0 gr de pechuga de pollo en tiras 🍍 ¼ taza de piña en cubos 🌶 Achiote o chile guajillo molido (1 cdita) 🧅 1 cda de cebolla 🌿 Cilantro 🫙 1 cdita de aceite🌮 2 tortillas de maíz 🫘 ½ taza de frijoles cocidos y machacados 🧀 ¼ taza de queso panela 🍅 Pico de gallo al gusto 🫙 1 cdita de aceite de oliva","Calienta la salsa y agrega los totopos. Sirve con queso y cebolla. TACOS DE POLLO AL PASTOR CON PIÑAMarina el pollo con achiote y cocina en sartén con piña y cebolla. Sirve en tacos con cilantro. ENFRIJOLADAS CON QUESO Y PICO DE GALLOCalienta los frijoles, baña las tortillas y dobla. Añade queso encima y acompaña con pico. Nombre CAMERINO JOSE GOMEZ"
7,7,Viernes,Desayuno,"TORTILLA DE PAPA LIGHT CON VERDURITAS","🥚 2 huevos + 1 clara 🍅 ¼ taza de jitomate picado 🧅 2 cdas de cebolla 🌶 1 cda de chile serrano (opcional) 🌮 2 tortillas de maíz 🫙 1 cdita de aceite de oliva 🧂 Sal al gusto🥩 1 7 0 gr de carne molida de res magra 🎃 ½ taza de calabaza de castilla cocida en cubos 🌵 ½ taza de nopales cocidos 🍅 ½ taza de salsa de tomate natural 🧄 1 diente de ajo picado 🧅 2 cdas de cebolla 🫙 1 cdita de aceite de oliva🍞 2 rebanadas de pan integral 🍖 2 rebanadas de jamón de pavo bajo en sodio 🧀 1 rebanada de queso tipo manchego bajo en grasa 🥒 ½ taza de pepino en rodajas 🫙 1 cdita de mostaza (opcional)","Sofríe jitomate, cebolla y chile. Añade los huevos batidos y cocina. Sirve con tortillas calientitas. GUISADO DE CALABAZA CON CARNE MOLIDA Y NOPALESSofríe ajo, cebolla y carne. Añade salsa, calabaza y nopales. Cocina hasta que espese. Sirve calientito. SANDWICH TOSTADO DE JAMÓN DE PAVO Y QUESO CON PEPINITOSArma el sándwich, dóralo en sartén tapado. Acompaña con pepinitos frescos con limón."
8,7,"Sábado",Desayuno,"PAN FRANCÉS LIGERO CON FRUTA DE TEM- PORADA","🥚 2 huevos + 1 clara 🥔 ½ taza de papa cocida en cubos pequeños 🧅 1 cda de cebolla 🫑 ¼ taza de pimiento en tiras 🫙 1 cdita de aceite de oliva🐟 1 lata y media de atún en agua, escurrida 🫒 6 aceitunas en rodajas 🫘 ½ taza de garbanzos cocidos 🥬 1 taza de mezcla de lechugas 🍅 ¼ taza de jitomate picado 🧅 1 cda de cebolla 🫙 1 cdita de aceite de oliva + jugo de limón","Sofríe la papa con verduritas. Agrega los huevos batidos y cocina a fuego bajo hasta que cuaje. ENSALADA DE ATÚN OTOÑAL CON GARBANZOS Y ACEITUNASMezcla todo, sirve fresco. Puedes calentar ligeramente los garbanzos y atún si prefieres tibio. AVENA DE POSTRE CON PLÁTANO Y NUECES 🌾 1/3 taza avena cocida en agua 🍌 1/4 plátano en rodajas 🌰 1 cdita nuez picada 🌿 Canela al gusto 👉 Prepara la avena, decora con plátano, nuez y canela. Sabe a pastel caliente."
9,8,Lunes,Desayuno,"TACOS DE HUEVO CON NOPALITOS Y QUESITO","🥚 2 huevos + 1 clara 🌵 ½ taza de nopales cocidos 🧀 ¼ taza de queso panela en cubitos 🌮 2 tortillas de maíz 🧂 Sal y pimienta al gusto 🫙 1 cdita de aceite de oliva","En sartén, sofríe los nopales en el aceite. Agrega los huevos batidos y cocina. Añade queso al final y mezcla. Sirve en las tortillas calientes."
10,8,Lunes,Comida,"ENSALADA TEMPLADA DE POLLO Y ACEITUNAS","🍗 1 8 0 gr de pechuga de pollo deshebrada (asada o cocida) 🫒 6 aceitunas partidas a la mitad 🍅 ½ taza de jitomate cherry 🥬 1 taza de espinaca baby o lechuga romana 🧅 ¼ taza de cebolla morada fileteada 🫙 1 cdita de aceite de oliva 🍋 Jugo de ½ limón 🌽 ¼ taza de granos de elote cocido","Mezcla todos los ingredientes y calienta ligeramente la pechuga con el elote. Agrega la mezcla tibia sobre la cama de hojas verdes y jitomate. Adereza con limón y aceite de oliva."
11,8,Lunes,Cena,"TOSTADAS DE ATÚN CON AGUACATE Y PICO DE GALLO","🐟 1 lata de atún en agua, escurrida 🥑 ¼ de aguacate 🌮 2 tostadas horneadas de maíz 🍅 ¼ taza de jitomate picado 🧅 2 cdas de cebolla 🌿 Cilantro al gusto 🍋 Limón, sal y pimienta","Mezcla el atún con el aguacate y condimenta. Haz pico de gallo (jitomate, cebolla, cilantro y limón). Sirve sobre las tostadas."
12,8,Martes,Desayuno,"MOLLETES LIGEROS CON AGUACATE Y QUESITO","🥖 1 bolillo integral partido a la mitad (sin migajón) 🥑 ¼ de aguacate 🧀 ¼ taza de queso panela rallado 🫘 3 cdas de frijoles refritos (sin grasa añadida) 🫙 1 cdita de aceite de oliva","Unta frijoles en el pan, pon el queso y calienta en sar- tén tapado. Agrega el aguacate encima al final."
13,8,Martes,Comida,"FAJITAS DE RES CON VERDURITAS Y ARROZ INTEGRAL","🥩 1 7 0 gr de carne de res magra en fajitas 🌶 ½ taza de pimiento morrón 🧅 ¼ taza de cebolla 🍚 ½ taza de arroz integral cocido 🧄 1 diente de ajo 🫙 1 cdita de aceite de oliva 🌿 Especias al gusto (orégano, comino)","Sofríe ajo, cebolla y pimientos, luego añade carne y especias. Acompaña con el arroz."
